5.141182761471770846e+01,1.899329034667862715e+01
5.132560579505430098e+01,2.007313134990567249e+01
4.994024571157924441e+01,2.012848457280401249e+01
4.994024571157925152e+01,2.007313134990567960e+01
5.141182761471770846e+01,1.899329034667862715e+01
5.132857931548389274e+01,1.998554452951383809e+01
5.132560579505430098e+01,2.007313134990567249e+01
5.431984975293120499e+01,1.562349864818551026e+01
5.139685761059205049e+01,1.957153561828235411e+01
5.613909202591987935e+01,1.561455424579568430e+01
4.994024571157925152e+01,2.007313134990567960e+01
5.609744443440584405e+01,1.561652768747337205e+01
5.397287914655110797e+01,1.562412577373635258e+01
5.132857931548389274e+01,1.998554452951383809e+01
5.139716609319697938e+01,1.909169514132700129e+01
5.139685761059205049e+01,1.957153561828235411e+01
5.139685761059205049e+01,1.957153561828235411e+01
5.141300906818202776e+01,1.895449648083994987e+01
5.132857931548389274e+01,1.998554452951383809e+01
4.994024571157925152e+01,2.007313134990567960e+01
5.660865849750419443e+01,1.506812652588892121e+01
